scenarioName,stepName,testDescription,actionToPerform,stockSymbol,date,transactionAction,txnType,signal,price,investment,quantity,shrPercent,targetTransactionId,targetWalletId,newCurrentPrice,expectedRealizedSwingPL_USD,expectedUnrealizedSwingPL_USD,expectedTotalSwingPL_USD,expectedRealizedHoldPL_USD,expectedUnrealizedHoldPL_USD,expectedTotalHoldPL_USD,expectedRealizedStockPL_USD,expectedUnrealizedStockPL_USD,expectedTotalStockPL_USD,expectedSwingWallet_BuyPrice,expectedSwingWallet_Shares,expectedSwingWallet_Investment,expectedHoldWallet_BuyPrice,expectedHoldWallet_Shares,expectedHoldWallet_Investment
SingleStockLifecycle,InitialBuySwing,Add first Swing buy for MSFT,addBuy,MSFT,2024-01-05,Buy,Swing,SignalX,150,3000,,,,,,,,,,,,,,150,20,3000,,,,
SingleStockLifecycle,InitialBuyHold,Add first Hold buy for MSFT,addBuy,MSFT,2024-01-10,Buy,Hold,SignalY,155,1550,,,,,,,,,,,,,,,,,,155,10,1550
SingleStockLifecycle,MockPriceAfterBuys,Set current price for MSFT to 160,mockCurrentPrice,MSFT,,,,,,,,,,160,,200,200,,50,50,,250,250,150,20,3000,155,10,1550,
AAPL Basic Flow,S1_Buy_Hold_AAPL,Add initial 10 shares of AAPL (Hold) at $150,addBuy,AAPL,2025-01-01,Buy,Hold,Initial Entry,150,1500,,,,,,,,,,,,,,,,,,,,
AAPL Basic Flow,S2_MockPrice_160_AAPL,Mock AAPL current price to $160,mockCurrentPrice,AAPL,,,,,,,,,,160,,,,,,,,,,,,,,,,
AAPL Basic Flow,S3_Verify_Overview_Post_Mock1,Verify overview stats after mocking price to $160,verifyStockOverview,AAPL,,,,,,,,,,,0,100,100,0,100,100,,,,,,,,,,
AAPL Basic Flow,S4_Verify_Wallet_Post_Mock1,Verify wallet details after mocking price to $160,verifyWalletDetails,AAPL,,,,,,,,,,,,,,,,,,,,,,,150,10,1500,
AAPL Basic Flow,S5_Buy_Swing_AAPL,Add 5 shares of AAPL (Swing) at $155,addBuy,AAPL,2025-01-05,Buy,Swing,Swing Entry,155,775,,,,,,,,,,,,,,,,,,,,
AAPL Basic Flow,S6_MockPrice_170_AAPL,Mock AAPL current price to $170,mockCurrentPrice,AAPL,,,,,,,,,,170,,,,,,,,,,,,,,,,
AAPL Basic Flow,S7_Verify_Overview_Post_Mock2,Verify overview stats after adding Swing buy and mocking price to $170,verifyStockOverview,AAPL,,,,,,,,,,,0,75,75,0,200,200,0,275,275,,,,,,,
AAPL Basic Flow,S8_Sell_Swing_AAPL,Sell 3 shares of AAPL (Swing) at $170,createSellFromWallet,AAPL,2025-01-10,Sell,Swing,,170,,3,,,,,,,,,,,,,,,,,,,
AAPL Basic Flow,S9_MockPrice_175_AAPL,Mock AAPL current price to $175,mockCurrentPrice,AAPL,,,,,,,,,,175,,,,,,,,,,,,,,,,
AAPL Basic Flow,S10_Verify_Overview_Post_Sell_Mock3,Verify overview after Swing sell and price mock to $175,verifyStockOverview,AAPL,,,,,,,,,,,45,40,85,0,250,250,45,290,335,,,,,,,
AAPL Basic Flow,S11_Verify_Wallet_Post_Sell_Mock3,Verify wallet details after Swing sell and price mock to $175,verifyWalletDetails,AAPL,,,,,,,,,,,,,,,,,,,,155,2,775,150,10,1500,
